site,site_id,ok,wtemp_cov,flow_cov,wtemp_cov_test,flow_cov_test,wlevel_cov,n_days,station_nm,lat,lon,state
09180000,n46,True,0.947,1.0,0.989,1.0,0.0,5479,"DOLORES RIVER NEAR CISCO, UT",38.79720805,-109.1951142,UT
01428500,n47,True,0.986,1.0,0.956,1.0,0.0,5479,DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY,41.50875,-74.9860556,NY
14150800,n48,True,0.803,1.0,1.0,1.0,0.0,5479,"WINBERRY CREEK NEAR LOWELL,OR",43.9142924,-122.6886762,OR
09149500,n49,True,0.763,1.0,0.997,1.0,0.0,5479,"UNCOMPAHGRE RIVER AT DELTA, CO",38.74194444,-108.08041667,CO
04208000,n50,True,0.566,1.0,0.877,1.0,0.0,5479,Cuyahoga River at Independence OH,41.39533087,-81.6298478,OH
06623800,n51,True,0.568,1.0,0.964,1.0,0.0,5479,"ENCAMPMENT RIVER AB HOG PARK CR, NR ENCAMPMENT, WY",41.02356508,-106.8248049,WY
03456991,n52,True,0.561,1.0,1.0,1.0,0.995,5479,"PIGEON RIVER NEAR CANTON, NC",35.52194444,-82.8480556,NC
02176930,n53,True,0.653,0.753,0.971,1.0,0.738,5479,"CHATTOOGA RIVER AT BURRELLS FORD, NR PINE MTN, GA",34.97452778,-83.1161667,GA
13317660,n54,True,1.0,1.0,1.0,1.0,0.0,5479,SNAKE RIVER AT McDUFF RAPIDS AT CHINA GARDEN ID,46.00305556,-116.9169444,ID
01480617,n55,True,0.813,1.0,0.992,1.0,0.0,5479,"West Branch Brandywine Creek at Modena, PA",39.9617734,-75.8013341,PA
02336728,n56,True,0.978,1.0,0.985,1.0,0.978,5479,"UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA, GA",33.74352778,-84.5681667,GA
03047000,n57,True,0.847,0.75,0.971,1.0,0.0,5479,"Loyalhanna Creek at Loyalhanna Dam, PA",40.45888889,-79.4494444,PA
11467000,n58,True,0.577,1.0,0.997,1.0,0.0,5479,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,38.50848204,-122.9277345,CA
14211500,n59,True,0.999,1.0,1.0,1.0,0.0,5479,"JOHNSON CREEK AT SYCAMORE, OR",45.47745556,-122.5080194,OR
05382257,n60,True,0.805,0.819,1.0,1.0,0.0,5479,"STILLWELL CREEK AT YARD ROAD NEAR TOMAH, WI",44.00055556,-90.6811111,WI
03106000,n61,True,0.655,1.0,0.99,1.0,0.0,5479,"Connoquenessing Creek near Zelienople, PA",40.8170092,-80.2422837,PA
12363000,n62,True,0.995,1.0,1.0,1.0,0.0,5479,Flathead River at Columbia Falls MT,48.3618111,-114.18495,MT
01542500,n63,True,0.665,1.0,0.996,1.0,0.0,5479,"WB Susquehanna River at Karthaus, PA",41.11755906,-78.108896,PA
05331833,n64,True,0.854,1.0,0.985,1.0,0.0,5479,"NAMEKAGON RIVER AT LEONARDS, WI",46.1713687,-91.3293778,WI
05382255,n65,True,0.781,0.819,0.967,1.0,0.0,5479,"STILLWELL CREEK AT SIXTEENTH COURT NEAR TOMAH, WI",43.99388889,-90.6572222,WI
05370000,n66,True,0.614,1.0,1.0,1.0,0.0,5479,"EAU GALLE RIVER AT SPRING VALLEY, WI",44.85277778,-92.2383333,WI
12213100,n67,True,0.867,1.0,1.0,1.0,0.994,5479,"NOOKSACK RIVER AT FERNDALE, WA",48.84479237,-122.5893141,WA
09380000,n68,True,0.993,1.0,1.0,1.0,0.0,5479,"COLORADO RIVER AT LEES FERRY, AZ",36.86433333,-111.58787222,AZ
