model,scope,feature_set,site_id,horizon,split,n_seeds,n_obs,BIAS,BIAS_std,KGE,KGE_std,MAE,MAE_std,NSE,NSE_std,PBIAS,PBIAS_std,R2,R2_std,RMSE,RMSE_std,SKILL_RMSE,SKILL_RMSE_std,CRPS,CRPS_std,EVT_AUPRC,EVT_AUPRC_std,EVT_AUROC,EVT_AUROC_std,EVT_BASE_RATE,EVT_BASE_RATE_std,EVT_BRIER,EVT_BRIER_std,EVT_BRIER_SKILL,EVT_BRIER_SKILL_std,MPIW,MPIW_std,PICP,PICP_std,PINBALL,PINBALL_std,WINKLER,WINKLER_std
LightGBM,per_station,V3,p3,7,test,1,724,-0.11542719293598072,0.0,0.9698887754636645,0.0,0.4939049669298805,0.0,0.964469758650807,0.0,-0.6705552383163361,0.0,0.964469758650807,0.0,0.6352942157703961,0.0,-0.12392567526204523,0.0,0.253427621798834,0.0,0.4120556087433664,0.0,0.9348554671135316,0.0,0.058011049723756904,0.0,0.04654973133540961,0.0,0.1481548676154465,0.0,2.2448354254192826,0.0,0.914364640883978,0.0,0.126713810899417,0.0,2.647272379264978,0.0
LightGBM,per_station,V3,p3,7,val,1,731,0.037543323974006115,0.0,0.9461363722412832,0.0,0.4557325245991128,0.0,0.9677102652716972,0.0,0.21496345882711124,0.0,0.9677102652716972,0.0,0.5765787637207014,0.0,0.03209586499908845,0.0,0.24997558618805008,0.0,0.5763606231122554,0.0,0.9381945977772871,0.0,0.11491108071135431,0.0,0.072185429442407,0.0,0.2902576311567162,0.0,2.2519529579673887,0.0,0.893296853625171,0.0,0.12498779309402504,0.0,2.6877871236065665,0.0
LightGBM,per_station,V3,s2,1,calib,1,365,-0.008769677135946948,0.0,0.9932430566902704,0.0,0.19799850068647726,0.0,0.9966502287728652,0.0,-0.07062333762731965,0.0,0.9966502287728652,0.0,0.26792385278784164,0.0,0.056454862252378835,0.0,0.10833743907144244,0.0,0.9453484677669364,0.0,0.9948498794652642,0.0,0.07397260273972603,0.0,0.016646221716611665,0.0,0.7569917939772941,0.0,0.9050216603322935,0.0,0.9068493150684932,0.0,0.05416871953572122,0.0,1.1995278019995603,0.0
LightGBM,per_station,V3,s2,1,test,1,730,0.04842184615615312,0.0,0.9956344898772618,0.0,0.20789058576908312,0.0,0.9961024028144626,0.0,0.3915802336766564,0.0,0.9961024028144626,0.0,0.28153106671356043,0.0,0.08586733855804585,0.0,0.11763244841088322,0.0,0.8847611569369557,0.0,0.9911773653787648,0.0,0.052054794520547946,0.0,0.014450059781766533,0.0,0.7071631861291705,0.0,0.9405101870830591,0.0,0.8835616438356164,0.0,0.05881622420544161,0.0,1.3421433099368374,0.0
LightGBM,per_station,V3,s2,1,val,1,731,0.01581281277819483,0.0,0.9980809325343297,0.0,0.1650613011635062,0.0,0.9974495109192872,0.0,0.12635316005006852,0.0,0.9974495109192872,0.0,0.22150256577660596,0.0,0.17551063844940884,0.0,0.09246360298984546,0.0,0.9016694369568226,0.0,0.9943144413190497,0.0,0.06703146374829001,0.0,0.015519827534233855,0.0,0.7518346232303511,0.0,0.8969098140057465,0.0,0.9288645690834473,0.0,0.04623180149492273,0.0,1.066295364640917,0.0
LightGBM,per_station,V3,s2,3,calib,1,365,-0.02479423467519654,0.0,0.9778300818839554,0.0,0.37399797440708915,0.0,0.9902194019302698,0.0,-0.19986077287265594,0.0,0.9902194019302698,0.0,0.45954143484719323,0.0,0.097050817432635,0.0,0.2007779703966918,0.0,0.7942953705965443,0.0,0.9724961648038571,0.0,0.07397260273972603,0.0,0.03259514445869615,0.0,0.52416303742643,0.0,1.8738605383525562,0.0,0.9068493150684932,0.0,0.1003889851983459,0.0,2.25994197405313,0.0
LightGBM,per_station,V3,s2,3,test,1,728,0.06161063585073984,0.0,0.9904283159211725,0.0,0.35839858368949545,0.0,0.9882593173207577,0.0,0.49736133885561906,0.0,0.9882593173207577,0.0,0.48721899723107465,0.0,0.16656172118162915,0.0,0.1971752299754975,0.0,0.6911613971807739,0.0,0.9668573607932875,0.0,0.0521978021978022,0.0,0.02765610312294651,0.0,0.4409880946904875,0.0,1.8534131733023054,0.0,0.9217032967032966,0.0,0.09858761498774875,0.0,2.2936327883944476,0.0
LightGBM,per_station,V3,s2,3,val,1,731,-0.002065470877992676,0.0,0.9954331605609247,0.0,0.30774980927401474,0.0,0.9909777912836317,0.0,-0.016497046773080493,0.0,0.9909777912836317,0.0,0.4157831695335544,0.0,0.23761235730787145,0.0,0.16911161043100842,0.0,0.7676913979647456,0.0,0.9851876234364713,0.0,0.06703146374829001,0.0,0.025690132547671503,0.0,0.5892092609346227,0.0,1.7739498627843477,0.0,0.9548563611491108,0.0,0.08455580521550421,0.0,1.9485537301491955,0.0
LightGBM,per_station,V3,s2,7,calib,1,365,0.02099003404406518,0.0,0.9376753439390552,0.0,0.5719988099347628,0.0,0.978071034580839,0.0,0.16950291878324278,0.0,0.978071034580839,0.0,0.6932587582747679,0.0,0.20932507907178566,0.0,0.29481043654517625,0.0,0.5165966264622162,0.0,0.9202279202279202,0.0,0.07397260273972603,0.0,0.05103671252292682,0.0,0.2549456469682595,0.0,2.8885958513782755,0.0,0.9068493150684932,0.0,0.14740521827258812,0.0,3.321283108367725,0.0
LightGBM,per_station,V3,s2,7,test,1,724,-0.001318374511532172,0.0,0.9626936862838774,0.0,0.5641255333215527,0.0,0.9714669458665474,0.0,-0.010603587615109282,0.0,0.9714669458665474,0.0,0.7544555707195805,0.0,0.23904220161671064,0.0,0.3055933961753324,0.0,0.28887644212804614,0.0,0.9120761086389443,0.0,0.052486187845303865,0.0,0.04585548297093254,0.0,0.07793679448794633,0.0,2.8987692034766694,0.0,0.9433701657458563,0.0,0.1527966980876662,0.0,3.5239739013057574,0.0
LightGBM,per_station,V3,s2,7,val,1,731,-0.07771375567557465,0.0,0.9795817565153636,0.0,0.5229458842553121,0.0,0.9765326204564206,0.0,-0.6202235451977758,0.0,0.9765326204564206,0.0,0.6681053603640376,0.0,0.26856137825540993,0.0,0.26609359669905247,0.0,0.414650344029015,0.0,0.9428152492668622,0.0,0.06703146374829001,0.0,0.04727081056603732,0.0,0.244129582725646,0.0,2.8566490929221406,0.0,0.9781121751025992,0.0,0.13304679834952624,0.0,2.9395562967883793,0.0
Persistence,per_station,-,b1,1,calib,1,365,0.0013698630136986301,0.0,0.9978554968890266,0.0,0.2556164383561643,0.0,0.9957940081685392,0.0,0.01384542962368122,0.0,0.9957940081685392,0.0,0.33933859923608284,0.0,2.946864974262553e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,b1,1,test,1,730,-0.0015068493150684902,0.0,0.9977636823934557,0.0,0.25602739726027396,0.0,0.9956132621436337,0.0,-0.015397320866169253,0.0,0.9956132621436337,0.0,0.34468568171318376,0.0,2.9011237856479966e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,b1,1,val,1,731,0.00013679890560875708,0.0,0.9975042706795778,0.0,0.27264021887824896,0.0,0.9950094120596117,0.0,0.0013808340237503646,0.0,0.9950094120596117,0.0,0.3647047791342919,0.0,2.741917803916749e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,b1,3,calib,1,365,0.00520547945205481,0.0,0.9909637593743831,0.0,0.5284931506849314,0.0,0.9822182935761234,0.0,0.05263303692623079,0.0,0.9822182935761234,0.0,0.6984719133212374,0.0,1.4316325902541394e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,b1,3,test,1,728,-0.005494505494505495,0.0,0.9907397745912891,0.0,0.5269230769230769,0.0,0.9817206401198871,0.0,-0.05602005517975435,0.0,0.9817206401198871,0.0,0.7023508406036852,0.0,1.4237500067793007e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,b1,3,val,1,731,-0.0006839945280437659,0.0,0.9902921059965756,0.0,0.5651162790697675,0.0,0.9805846686074013,0.0,-0.006903598155358474,0.0,0.9805846686074013,0.0,0.7191821620536359,0.0,1.390443316040546e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,b1,7,calib,1,365,0.0093150684931507,0.0,0.9767277479292787,0.0,0.8591780821917807,0.0,0.9538983222613128,0.0,0.09422458707460385,0.0,0.9538983222613128,0.0,1.1259577354047565,0.0,8.881784197001252e-13,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,b1,7,test,1,724,-0.013259668508287284,0.0,0.973135454368103,0.0,0.9267955801104972,0.0,0.9466100123164997,0.0,-0.13459138895509404,0.0,0.9466100123164997,0.0,1.195918473172456,0.0,8.362199821476679e-13,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,b1,7,val,1,731,-0.0020519835841313464,0.0,0.9729952865005829,0.0,0.9645690834473325,0.0,0.9459727905383454,0.0,-0.020707935280799793,0.0,0.9459727905383454,0.0,1.1992302592806279,0.0,8.338885137959551e-13,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,p3,1,calib,1,365,0.0030136986301369855,0.0,0.9986754229960577,0.0,0.10383561643835622,0.0,0.998194259223585,0.0,0.017931664058424616,0.0,0.998194259223585,0.0,0.14850856716212693,0.0,6.733613666654037e-12,0.0,,,,,,,,,,,,,,,,,,,,
