model,horizon,baseline,skill,station_rmse,baseline_station_rmse
TR-unbounded,1,Persistence,0.20413042666619707,0.6342773556081507,0.813173271645506
TR-unbounded,1,DampedPersistence,0.1762474352559637,0.6342773556081507,0.7893397408576391
TR-unbounded,1,Climatology,0.6773189506218382,0.6342773556081507,1.8991719069182085
TR-unbounded,3,Persistence,0.1890912059758904,1.332568726331198,1.6375577264367185
TR-unbounded,3,DampedPersistence,0.07586680630400283,1.332568726331198,1.4538841678832246
TR-unbounded,3,Climatology,0.2913691651585531,1.332568726331198,1.9016346963047797
TR-unbounded,7,Persistence,0.25215990224298734,1.6946215021728075,2.201650788662053
TR-unbounded,7,DampedPersistence,0.04150258178037691,1.6946215021728075,1.7728121291136714
TR-unbounded,7,Climatology,0.09134826138878688,1.6946215021728075,1.9032724667255008
ThermoRoute,1,Persistence,0.20643532600361864,0.6396860472749766,0.813173271645506
ThermoRoute,1,DampedPersistence,0.17312201457137683,0.6396860472749766,0.7893397408576391
ThermoRoute,1,Climatology,0.6812376391984876,0.6396860472749766,1.8991719069182085
ThermoRoute,3,Persistence,0.18566486155520362,1.3371281756238176,1.6375577264367185
ThermoRoute,3,DampedPersistence,0.07657939905070771,1.3371281756238176,1.4538841678832246
ThermoRoute,3,Climatology,0.28017236203180956,1.3371281756238176,1.9016346963047797
ThermoRoute,7,Persistence,0.2496899406608487,1.6943056459387094,2.201650788662053
ThermoRoute,7,DampedPersistence,0.03818980085109841,1.6943056459387094,1.7728121291136714
ThermoRoute,7,Climatology,0.0866280264034821,1.6943056459387094,1.9032724667255008
ThermoRoute-ext,1,Persistence,0.21261714249772606,0.6360879339909069,0.813173271645506
ThermoRoute-ext,1,DampedPersistence,0.17836437934965454,0.6360879339909069,0.7893397408576391
ThermoRoute-ext,1,Climatology,0.6696366864253587,0.6360879339909069,1.8991719069182085
ThermoRoute-ext,3,Persistence,0.14547154789858036,1.3636695900138789,1.6375577264367185
ThermoRoute-ext,3,DampedPersistence,0.03445380650557173,1.3636695900138789,1.4538841678832246
ThermoRoute-ext,3,Climatology,0.24459954850651977,1.3636695900138789,1.9016346963047797
ThermoRoute-ext,7,Persistence,0.17988523810263735,1.8284299416410823,2.201650788662053
ThermoRoute-ext,7,DampedPersistence,-0.05179787100326694,1.8284299416410823,1.7728121291136714
ThermoRoute-ext,7,Climatology,0.003328769378204477,1.8284299416410823,1.9032724667255008
