candidate,reference,horizon,site_id,effect
DampedPriorOnly,Persistence,7,05370000,-0.49602107213454416
DampedPriorOnly,Persistence,7,05382255,-0.5337391741233375
DampedPriorOnly,Persistence,7,05382257,-0.6585157568107245
DampedPriorOnly,Persistence,7,05406457,-0.30613603994191907
DampedPriorOnly,Persistence,7,05458300,-0.6645704395531351
DampedPriorOnly,Persistence,7,05517000,-0.6694474365070957
DampedPriorOnly,Persistence,7,06036805,-0.41816322548519835
DampedPriorOnly,Persistence,7,06036905,-0.5101024847710365
DampedPriorOnly,Persistence,7,06036940,-0.17211437068134394
DampedPriorOnly,Persistence,7,06041000,-0.44503972547071924
DampedPriorOnly,Persistence,7,06623800,-0.4933050332181631
DampedPriorOnly,Persistence,7,06894000,-0.6838153688692956
DampedPriorOnly,Persistence,7,06934500,-0.48094418018516194
DampedPriorOnly,Persistence,7,07106000,-0.707108160823184
DampedPriorOnly,Persistence,7,07178200,-0.492787898847042
DampedPriorOnly,Persistence,7,07194880,-0.42548877965510146
DampedPriorOnly,Persistence,7,07332622,-0.7718906398814518
DampedPriorOnly,Persistence,7,08048000,-0.4566376027250971
DampedPriorOnly,Persistence,7,08052700,-0.9775909525686726
DampedPriorOnly,Persistence,7,08065350,-0.45205310584758873
DampedPriorOnly,Persistence,7,08070200,-0.5817514545168536
DampedPriorOnly,Persistence,7,08123850,-0.8487492357564443
DampedPriorOnly,Persistence,7,09136100,-0.3035743938512603
DampedPriorOnly,Persistence,7,09144250,-0.31680817050893495
DampedPriorOnly,Persistence,7,09149500,-0.41960276185082845
DampedPriorOnly,Persistence,7,09163500,-0.44145343151778804
DampedPriorOnly,Persistence,7,09180000,-0.4702546929989113
DampedPriorOnly,Persistence,7,09261000,-0.5019875669127818
DampedPriorOnly,Persistence,7,09302000,-0.47660715653431307
DampedPriorOnly,Persistence,7,09380000,0.18134403091398532
DampedPriorOnly,Persistence,7,10129900,-0.3558497511017322
DampedPriorOnly,Persistence,7,10301500,-0.5954979951480193
DampedPriorOnly,Persistence,7,10351600,-0.40011670525427134
DampedPriorOnly,Persistence,7,11262900,-0.5422844475402633
DampedPriorOnly,Persistence,7,11467000,-0.29069003448357944
DampedPriorOnly,Persistence,7,11507500,-0.4772601738399036
DampedPriorOnly,Persistence,7,12056500,-0.19230941645010957
DampedPriorOnly,Persistence,7,12115000,-0.14941843906385932
DampedPriorOnly,Persistence,7,12117600,-0.16272156158106144
