model,horizon,bin_low,bin_high,mean_forecast,observed_rate,n
TR-noTCN,7,0.9,1.0,0.9345147196159878,0.9801324503311258,1812
TR-unbounded,1,0.0,0.1,0.0030969451314523853,0.004068646945455658,98067
TR-unbounded,1,0.1,0.2,0.14430073596788784,0.16107660455486542,2415
TR-unbounded,1,0.2,0.30000000000000004,0.24752720423370375,0.27784810126582277,1580
TR-unbounded,1,0.30000000000000004,0.4,0.34928489696286674,0.375,1384
TR-unbounded,1,0.4,0.5,0.4496458852893839,0.4664429530201342,1192
TR-unbounded,1,0.5,0.6000000000000001,0.54997762123245,0.5709515859766278,1198
TR-unbounded,1,0.6000000000000001,0.7000000000000001,0.6518221320889293,0.6569037656903766,1434
TR-unbounded,1,0.7000000000000001,0.8,0.7516413668660632,0.7639902676399026,1644
TR-unbounded,1,0.8,0.9,0.8547494029092562,0.8563218390804598,2262
TR-unbounded,1,0.9,1.0,0.9739610407948732,0.9685683530678149,9290
TR-unbounded,3,0.0,0.1,0.005315715398767748,0.006303040733131837,92971
TR-unbounded,3,0.1,0.2,0.14630310967708965,0.1749619095987811,3938
TR-unbounded,3,0.2,0.30000000000000004,0.2479335673698949,0.2709497206703911,2864
TR-unbounded,3,0.30000000000000004,0.4,0.34906667584420775,0.36377891023128184,2551
TR-unbounded,3,0.4,0.5,0.4500549783232937,0.4756570443774235,2321
TR-unbounded,3,0.5,0.6000000000000001,0.550965237960865,0.5855122160308616,2333
TR-unbounded,3,0.6000000000000001,0.7000000000000001,0.6504002571679154,0.6750303520841765,2471
TR-unbounded,3,0.7000000000000001,0.8,0.7509757551442999,0.7576687116564417,2608
TR-unbounded,3,0.8,0.9,0.8512550760533786,0.8556183301946014,3186
TR-unbounded,3,0.9,1.0,0.9544628312161082,0.9523917479029699,4411
TR-unbounded,7,0.0,0.1,0.006989593980579674,0.009390250743254613,89135
TR-unbounded,7,0.1,0.2,0.146489162728931,0.159688013136289,4872
TR-unbounded,7,0.2,0.30000000000000004,0.2500166017187807,0.2539598732840549,3788
TR-unbounded,7,0.30000000000000004,0.4,0.3494745103304393,0.36062265782646297,3469
