model,horizon,bin_low,bin_high,mean_forecast,observed_rate,n
TR-noDynamicPrior,7,0.0,0.1,0.006885045931338512,0.008188435099069956,89028
TR-noDynamicPrior,7,0.1,0.2,0.1456051980301144,0.15879657302251446,5019
TR-noDynamicPrior,7,0.2,0.30000000000000004,0.24892444052826285,0.24576954069298954,3723
TR-noDynamicPrior,7,0.30000000000000004,0.4,0.35001791719241215,0.3660919540229885,3480
TR-noDynamicPrior,7,0.4,0.5,0.4489496170270755,0.4833882071236157,3341
TR-noDynamicPrior,7,0.5,0.6000000000000001,0.5500503359521464,0.5791564792176039,3272
TR-noDynamicPrior,7,0.6000000000000001,0.7000000000000001,0.649337995042071,0.6427889207258835,3141
TR-noDynamicPrior,7,0.7000000000000001,0.8,0.7489532087088502,0.7782837127845884,2855
TR-noDynamicPrior,7,0.8,0.9,0.8499068948158522,0.884263114071607,2402
TR-noDynamicPrior,7,0.9,1.0,0.9518673225071722,0.9682605111294311,2426
TR-noMoE,1,0.0,0.1,0.0032585711519078266,0.0037150438865074507,97980
TR-noMoE,1,0.1,0.2,0.14497266104355386,0.164366373902133,2391
TR-noMoE,1,0.2,0.30000000000000004,0.24817334858539183,0.2631578947368421,1672
TR-noMoE,1,0.30000000000000004,0.4,0.3500404956838846,0.3665338645418327,1255
TR-noMoE,1,0.4,0.5,0.4494721439171266,0.4489451476793249,1185
TR-noMoE,1,0.5,0.6000000000000001,0.55086487452149,0.5522138680033417,1197
TR-noMoE,1,0.6000000000000001,0.7000000000000001,0.6499303328228561,0.6409322651128915,1373
TR-noMoE,1,0.7000000000000001,0.8,0.7515799377810441,0.7630128597672995,1633
TR-noMoE,1,0.8,0.9,0.8536135282671574,0.8487574978577549,2334
TR-noMoE,1,0.9,1.0,0.9721004877148606,0.9699343637518526,9446
TR-noMoE,3,0.0,0.1,0.005725472470271057,0.0061143644505683775,92896
TR-noMoE,3,0.1,0.2,0.1459389824590234,0.17651477215823735,3994
TR-noMoE,3,0.2,0.30000000000000004,0.24827395855620119,0.291710388247639,2859
TR-noMoE,3,0.30000000000000004,0.4,0.3491833842235372,0.3738393217601938,2477
TR-noMoE,3,0.4,0.5,0.4499140978650245,0.46302665520206365,2326
TR-noMoE,3,0.5,0.6000000000000001,0.5511098773716002,0.5769557823129252,2352
TR-noMoE,3,0.6000000000000001,0.7000000000000001,0.6505264562569664,0.6588709677419354,2480
TR-noMoE,3,0.7000000000000001,0.8,0.7515053996996538,0.7490747594374537,2702
TR-noMoE,3,0.8,0.9,0.8514864070183927,0.8466085874299938,3214
TR-noMoE,3,0.9,1.0,0.951370627167992,0.958658704639412,4354
TR-noMoE,7,0.0,0.1,0.007178379472587276,0.008922520894510955,88540
TR-noMoE,7,0.1,0.2,0.14599166568567562,0.1651750972762646,5140
