model,horizon,baseline,skill,station_rmse,baseline_station_rmse
ThermoRoute,7,Persistence,0.23043851701461615,1.6943056459387094,2.201650788662053
ThermoRoute,7,DampedPersistence,0.04428358870390392,1.6943056459387094,1.7728121291136714
ThermoRoute,7,Climatology,0.10979343443469758,1.6943056459387094,1.9032724667255008
ThermoRoute-ext,1,Persistence,0.217770730826231,0.6360879339909069,0.813173271645506
ThermoRoute-ext,1,DampedPersistence,0.1941518954819378,0.6360879339909069,0.7893397408576391
ThermoRoute-ext,1,Climatology,0.6650709018631764,0.6360879339909069,1.8991719069182085
ThermoRoute-ext,3,Persistence,0.1672540344692537,1.3636695900138789,1.6375577264367185
ThermoRoute-ext,3,DampedPersistence,0.06205073269398975,1.3636695900138789,1.4538841678832246
ThermoRoute-ext,3,Climatology,0.2828961352757521,1.3636695900138789,1.9016346963047797
ThermoRoute-ext,7,Persistence,0.16951863980562398,1.8284299416410823,2.201650788662053
ThermoRoute-ext,7,DampedPersistence,-0.03137264891978009,1.8284299416410823,1.7728121291136714
ThermoRoute-ext,7,Climatology,0.039323074542859215,1.8284299416410823,1.9032724667255008
